,question,id,Q_tag
160,갖지 못한 국가'가 위기를 극복하기 위해 광폭한 전쟁과 함께 시행한 것은?,mrc-0-004182,[WHAT]
161,통근특급이 걸림돌인 노선과 서로 평면교차하는 노선은 어디인가?,mrc-0-003970,[WHERE]
162,장정기가 들어있는 우산이끼의 가지는?,mrc-0-004626,[WHAT]
163,멕시코 연방 정부는 메탈클래드에게 얼마를 보상하라고 하였나?,mrc-0-000065,[WHAT]
164,대학원에서 수업을 듣던 시절 소설을 출품하던 곳은 어디었는가?,mrc-0-003016,[WHERE]
165,국경일에 일장기를 달아도 반대하지 않을 것이라는 내용을 담은 윤치호의 일기는 언제 쓰여진 것인가?,mrc-0-000304,[WHEN]
166,석조지장보살상이 조각되지 않았을 것으로 추정되는 시기는?,mrc-0-003205,[WHEN]
167,이회광이 이용구의 추천으로 원종 고문 자리에 세운 사람은?,mrc-0-002169,[WHO]
168,갈릴레오 호 직전에 관측을 진행한 발사체의 이름은?,mrc-0-002771,[WHO]
169,사관학교에서 졸업을 할 때 던지는 물건은?,mrc-0-003359,[WHAT]
170,노르웨이 노르카프에서는 어느 계절에 백야를 항상 볼 수 있나요?,mrc-1-000666,[WHEN]
171,1991년에 오브차라를 강제수용소로 변경하여 사용하려 했던 세력은?,mrc-0-003123,[WHAT]
172,호르몬의 주요 생성장소가 위치한 곳은?,mrc-0-003614,[WHERE]
173,금산법 제 24조에 의거하여 대통령령이 시행되는 경우 어느 기관의 승인을 받아야 하는가?,mrc-1-000791,[WHAT]
174,셰익스피어의 <<실수 연발>>에서 두 쌍의 쌍둥이 형제들이 재회하는 장소는?,mrc-1-001485,[WHERE]
175,자미토프가 개혁을 강행하기 위해 설립한 사병 집단은?,mrc-1-001025,[WHAT]
176,실제 상황을 이해하려면 몇 차원 상자 속 입자 문제를 풀어야 하나?,mrc-0-003425,[WHAT]
177,메구밍에게 자신이 사용하던 안대를 준 사람은?,mrc-0-002676,[WHO]
178,아나톨은 언제부터 작성되었나요?,mrc-0-001432,[WHEN]
179,사라스테의 후임은 누구인가?,mrc-1-001332,[WHO]
180,일제강점기 당시 형조와 같은 역할을 한 기관은?,mrc-0-001281,[WHAT]
181,"버넘이 허빅-아로천체를 찾아냈을 때, 사용한 물건은?",mrc-0-003224,[WHAT]
182,윤창중이 인턴 직원을 성추행한 것으로 알려진 날짜는?,mrc-0-000496,[WHEN]
183,린후이인이 원래 진학하고 싶어했던 과는?,mrc-0-001384,[WHAT]
184,강요에 의한 개혁이 아니라 긴 기간 동안 의회의 권한을 키운 국가는?,mrc-0-003067,[WHERE]
185,"한중을 공격 시, 군량과 운송이 속한 조조의 부대는?",mrc-0-004545,[WHERE]
186,주인규는 무엇 때문에 스스로 생을 마감하게 되는가?,mrc-0-004460,[WHAT]
187,프리츠는 어느 나라의 왕인가?,mrc-0-002975,[WHO]
188,트루먼이 탐험을 하지 못하게 크리스토프가 제거한 인물은?,mrc-0-004389,[WHO]
189,반-베블런 효과가 처음 소개된 곳은?,mrc-0-005180,[WHERE]
190,성 요한 기사단이 로도스 섬으로 거처를 옮긴 년도는?,mrc-0-001374,[WHEN]
191,단순 조화 진동자의 진동 주기는 무엇의 세기에 비례하나요?,mrc-0-000431,[WHAT]
192,팰퍼틴에게 비상시의 권리를 도맡아 달라고 의견을 냈던 인물은?,mrc-0-001783,[WHO]
193,제1차 마른강 전투에서 이긴 국가는?,mrc-0-000359,[WHERE]
194,텔 아파르나 키프리를 탈환하기 위해 계획 중인 집단이 소속된 나라는 어디인가?,mrc-0-002967,[WHERE]
195,상하이의 북역과 남역 모두를 자유롭게 타기 시작했던 해는?,mrc-0-001838,[WHEN]
196,브레킨리지가 루이지애나주 배턴루지를 얻는 데 실패한 해는?,mrc-0-000021,[WHEN]
197,매우 센 중력에 의해 빛이 탈출하지 못하는 천체는?,mrc-0-004709,[WHAT]
198,국부 제거술로 인한 환관지망생들의 사망률은?,mrc-0-003085,[WHAT]
199,날개 앞쪽으로 연꽃을 들고 있는 인면조가 그려진 백제의 유물은 무엇인가?,mrc-0-005332,[WHAT]
200,각 측에서 주장된 포로교환 방법 중 선택된 것은?,mrc-1-001594,[WHAT]
201,억스브릿지선이 생긴 이유는?,mrc-1-000856,[WHY]
202,암컷류가 수중에 생식을 하거나 알주머니를 다른 물체에 붙이는 생식 방법은?,mrc-0-003629,[HOW]
203,판 호이동크에게 어시스트를 해준 선수는?,mrc-0-005210,[WHO]
204,레오폴 2세가 국제아프리카협회로 부른 민간 지주 회사를 결성한 해는?,mrc-0-002685,[WHEN]
205,티나헤로가 아칸바로의 유적을 날조한 것이라고 주장한 인물은?,mrc-0-002938,[WHO]
206,메리의 사촌은 어디에서 영웅으로 활약하기도 했나요?,mrc-0-002936,[WHERE]
207,대가족제도에서 차별의식을 더욱 강화시켰던 문화는?,mrc-0-002389,[WHAT]
208,마'를 피하기 위해 살몬 신전을 보낸 곳은?,mrc-0-003706,[WHERE]
209,모하치 전투 후 오스만 제국과 헝가리 왕국을 둘로 나눈 나라는?,mrc-0-001366,[WHERE]
210,임규남이 병원에 입원하는 바람에 해고 당한 직장은?,mrc-0-005387,[WHAT]
211,모세가 십계명을 받고 시나이 산에서 내려와 누구를 보고 슬퍼하고 분노했다고 <탈출기>는 전하는가?,mrc-0-003100,[WHO]
212,타격이 시작되는 것은 대상이 어디에 나타날 때인가?,mrc-0-001021,[WHERE]
213,귀족적인 정치가의 이미지를 탈피하기 위해 노력하였으나 실패한 인물은?,mrc-0-000898,[WHO]
214,"본인의 일에 진중하게 임했고 많은 것을 연습했지만, 자신의 옷차림에 불만을 제기했던 인물은?",mrc-1-000256,[WHO]
215,로마의 인력 수급에 중요한 역할을 한 나라는?,mrc-0-001382,[WHERE]
216,몇 년간의 전쟁을 통해 '귀방'이라 불리는 이민족이 정벌되었는가?,mrc-0-004932,[WHEN]
217,슈타우펜베르크는 들 것에 실려나온 사람이 무엇을 덮고 있는 것을 보고 히틀러의 죽음을 단정했나?,mrc-1-000008,[WHAT]
218,화물과 배가 시내 가까이에 갈 수 있는지의 여부를 정하는 기준이 된 문서는?,mrc-0-002723,[WHAT]
219,버섯왕국의 피치 공주를 납치한 악당 거북의 이름은?,mrc-0-005465,[WHO]
220,작센군과 오스트리아군은 함께 어디를 공격할 예정이였나?,mrc-0-003236,[WHERE]
221,팬들이 스스로 만드는 상품을 뭐라 하는가?,mrc-0-003365,[WHAT]
222,박헌영이 정부의 역할을 미군정에서 인민위원회로 즉시 넘겨달라고 요구했던 성명은 무엇인가?,mrc-0-002788,[WHAT]
223,한국에서 음식을 올려놓을때 쓰이는 세간의 이름은 무엇인가요?,mrc-1-000582,[WHAT]
224,네델란드와의 친선 경기에서 유일하게 골을 넣은 선수의 소속팀은?,mrc-0-001379,[WHO]
225,독일의 식민 지배는 언제까지 지속됐는가?,mrc-0-001445,[WHEN]
226,전효숙이 재판관직 사임으로 민간인이 되었을 때 헌법소장직을 대행 한 사람은?,mrc-0-000345,[WHO]
227,우리손은 위상 공간을 거리화하려면 그 공간이 제2 가산 공간임과 더불어 어떤 공간이어야 한다고 증명했나?,mrc-0-002584,[WHAT]
228,할릴자드 대사와 정치적 이야기를 나눈 아프간 대통령은?,mrc-0-004928,[WHO]
229,"베니 간츠가 리쿠드당과 같은 노선을 밟겠다는 입장을 표명한 이후, 청백당을 나갔던 인물은?",mrc-0-004803,[WHO]
230,아일랜드의 자원 공급 불안과 지구 온난화에 대한 해결방안은?,mrc-0-004927,[WHAT]
231,안전한 거래를 지지하는 주식 시장 참여자들은 어떤 집단 극화 양상을 보이나요?,mrc-1-000536,[WHAT]
232,경신자오단오제가 지금의 이름이 되기 직전의 명칭은 무엇이었는가?,mrc-0-002424,[WHAT]
233,히틀러의 반란은 누구를 모방한 것인가?,mrc-0-000576,[WHO]
234,최초로 공산주의 정당을 제외한 선거 이후 메리가 맡은 직책은?,mrc-0-002786,[WHO]
235,게임 발표회에서 제작기간이 부족했다고 한 사람은?,mrc-0-000205,[WHO]
236,히키코모리가 유독 많아졌던 세대는?,mrc-0-002518,[WHAT]
237,1985년 스토우빌선 열차가 스토우빌에서 출발해 여섯 번째로 정차했던 역은?,mrc-0-005293,[WHAT]
238,2012년에 공금횡령의 죄목으로 김모씨의 긴급 체포를 진행한 집단은?,mrc-1-001027,[WHAT]
239,오노에게 영향을 미친 장 폴 사르트르의 철학은?,mrc-0-001105,[WHAT]
240,밀란 루키치는 그의 위법행위로 인해 어떤 형을 받았나?,mrc-0-000122,[WHAT]
241,북버지니아군이 챈슬러즈빌 전투에서 상대한 것은?,mrc-0-000712,[WHAT]
242,산악 자전거 프리 라이드 부문에 출전하는 마틴 소더스트롬이 이용하는 제품은?,mrc-0-001896,[WHAT]
243,<굳세어라 금순아>의 작곡가가 실제 피난생활을 했던곳은?,mrc-0-003227,[WHERE]
244,크리스티앙 드카스를 포로로 잡은 인물은 누구인가?,mrc-0-002215,[WHO]
245,"폐예노르트와 아약스가 ""더 클라시커르""에서 맞대결을 할 때 경기가 치뤄지는 곳은?",mrc-0-002601,[WHERE]
246,총 14만 명의 인도인들이 영국 전쟁의 지원을 위해 보내졌던 곳은?,mrc-0-004910,[WHERE]
247,강희제가 310 마리의 토끼를 사냥하려면 얼마나 걸리는가?,mrc-0-002166,[WHAT]
248,공공 사업 법안이 통과되지 못하자 와그너가 내세운 법령은 무엇인가?,mrc-0-003503,[WHAT]
249,모스크바로 가기 위한 여권이 필요한 사람은?,mrc-0-001845,[WHO]
250,부피와 무게감을 나타낸 얼굴이나 짧은 목 등을 통해 알 수 있는 불상의 축조 시기는?,mrc-0-001887,[WHEN]
251,금속을 다루는 능력의 진보가 이루어지며 등장한 대포는 무엇인가?,mrc-0-000316,[WHAT]
252,로마의 성벽을 확장한 인물을 기록한 사람은?,mrc-0-003027,[WHO]
253,반사는 어디에서 온 데이터로 인해 발생하는가?,mrc-0-005283,[WHERE]
254,마켓가든 작전을 다룬 작품은?,mrc-1-001543,[WHAT]
255,도플라밍고가 해군에 체포되기 전에 서로 싸웠으며 그가 현상금 3억 베리를 건 인물은 누구인가?,mrc-0-002338,[WHO]
256,정치적 코미트를 담고있는 작품은?,mrc-0-002231,[WHAT]
257,군자면에서 당 선전으로 활동한 사람들의 직업은?,mrc-0-002983,[WHO]
258,합동조사반에 의하면 사고의 원인에는 과적 외에 어떤 것이 있는가?,mrc-0-004017,[WHY]
259,양산이씨 종가가 보유한 왕지 중 양산이씨의 시조와 관련한 왕지는 몇 점이 있는가?,mrc-0-001220,[WHAT]
260,공룡을 닮은 토우는 어디에서 발견되었나요?,mrc-0-002746,[WHERE]
261,주파수가 높은 강한 전자파가 사람의 몸에 닿아 부정적 영향을 일으키는 원리는?,mrc-0-002285,[WHAT]
262,10세기 초에 글라골 문자와 그리스 문자를 이용해 새롭게 만들어 낸 문자는?,mrc-0-001844,[WHO]
263,이경언이 사망한 장소는?,mrc-1-001797,[WHERE]
264,김일성이 소련인으로서 살고 싶어했다고 말을 한 인물은?,mrc-0-002028,[WHO]
265,고구려에 크게 지고 그 전쟁때문에 병이나서 죽은 당나라 왕은?,mrc-0-003031,[WHO]
266,안더스가 폴란드 제2군단을 설립한 나라는?,mrc-1-001020,[WHERE]
267,이탈리아계 미국인들의 민주당 뉴딜 연정 가입으로인해 이득을 본 공화단원은?,mrc-0-001574,[WHO]
268,국민회의 측이 비판한 대통령의 발언은 언제 한 발언이었나?,mrc-1-000155,[WHEN]
269,화가 난 스승이 아힘사에게 살인 후 목걸이로 만들어 오라고 한 신체부위는?,mrc-1-000801,[WHAT]
270,아테네가 주도권을 잃어버리는데 영향을 준 인물은?,mrc-0-003959,[WHO]
271,레닌에 의하면 자본주의식 농업 시스템을 통해 일반 시민들이 더 쉽게 사용할 수 있게 된 것은 무엇인가?,mrc-1-000235,[WHAT]
272,아르튀르가 베르린과의 연애생활을 한 경험을 쓴 시집이름은?,mrc-0-002716,[WHO]
273,섬 정부가 영국 정부가 지시내리기전에 섬에서 모두 쫓아낸 민족은?,mrc-0-000014,[WHAT]
274,로버트 마틴은 단일 책임 원칙을 알려주기 위해 누구의 책을 참고하였나?,mrc-0-000246,[WHO]
